Geometry,Freq (Hz),Range,Time Slot (s),channel,ISI,
VL,0.6,1,0.06,Rx0,0.0133727,
VL,0.6,1,0.06,Rx0,0.0123803,
VL,0.6,1,0.06,Rx0,0.00351837,
VL,0.6,1,0.06,Rx0,0.0024477,
VL,0.6,1,0.06,Rx0,0.00118857,
VL,0.6,1,0.06,Rx0,0.00388925,
VL,0.6,1,0.06,Rx0,0.00221827,
VL,0.6,1,0.06,Rx0,0.0243051,
VL,0.6,1,0.06,Rx0,0.000458658,
VL,0.6,1,0.06,Rx0,0.010352,
VL,0.6,1,0.06,Rx0,0.00431109,
VL,0.6,1,0.06,Rx0,0.00482799,
VL,0.6,1,0.06,Rx0,0.135568,
VL,0.6,1,0.06,Rx0,0.00226503,
VL,0.6,1,0.06,Rx0,0.0156476,
VL,0.6,1,0.06,Rx0,0.00212987,
VL,0.6,1,0.06,Rx0,0.00157465,
VL,0.6,1,0.06,Rx0,0.0254476,
VL,0.6,1,0.06,Rx0,0.00962622,
VL,0.6,1,0.06,Rx0,0.000823433,
VL,0.6,1,0.06,Rx0,0.0234471,
VL,0.6,1,0.06,Rx0,0.000188522,
VL,0.6,1,0.06,Rx0,0.00881052,
VL,0.6,1,0.06,Rx0,0,
VL,0.6,1,0.06,Rx0,0.00731551,
VL,0.6,1,0.06,Rx0,0.000865625,
VL,0.6,1,0.06,Rx0,0.00475583,
VL,0.6,1,0.06,Rx0,0.00252483,
VL,0.6,1,0.06,Rx0,0.00183246,
VL,0.6,1,0.06,Rx0,0.0145289,
VL,0.6,1,0.06,Rx0,0.000393143,
VL,0.6,1,0.06,Rx0,0.0673007,
VL,0.6,1,0.06,Rx0,0.00677269,
VL,0.6,1,0.06,Rx0,0.0444635,
VL,0.6,1,0.06,Rx0,0.000436774,
VL,0.6,1,0.06,Rx0,0.0307072,
VL,0.6,1,0.06,Rx0,0.00716099,
VL,0.6,1,0.06,Rx0,0.0660257,
VL,0.6,1,0.06,Rx0,0.0295485,
VL,0.6,1,0.06,Rx0,0.00335872,
VL,0.6,1,0.06,Rx0,0,
VL,0.6,1,0.06,Rx0,0.00328434,
VL,0.6,1,0.06,Rx0,0.0241382,
VL,0.6,1,0.06,Rx0,0.00212316,
VL,0.6,1,0.06,Rx0,0.0150664,
VL,0.6,1,0.06,Rx0,0.000591213,
VL,0.6,1,0.06,Rx0,0.000698899,
VL,0.6,1,0.06,Rx0,0.0073117,
VL,0.6,1,0.06,Rx0,0.00935459,
VL,0.6,1,0.06,Rx0,0.00475643,
VL,0.6,1,0.06,Rx0,0.00255202,
VL,0.6,1,0.06,Rx0,3.23243e-05,
VL,0.6,1,0.06,Rx0,0,
VL,0.6,1,0.06,Rx0,0.00319765,
VL,0.6,1,0.06,Rx0,0.321041,
VL,0.6,1,0.06,Rx0,0.0152244,
VL,0.6,1,0.06,Rx0,0.00936436,
VL,0.6,1,0.06,Rx0,0.0131047,
VL,0.6,1,0.06,Rx0,0.0139034,
VL,0.6,1,0.06,Rx0,0.0245469,
VL,0.6,1,0.06,Rx0,0.00750564,
VL,0.6,1,0.06,Rx0,0.0157832,
VL,0.6,1,0.06,Rx0,0.053454,
VL,0.6,1,0.06,Rx0,0.000193786,
VL,0.6,1,0.06,Rx0,0.0128611,
VL,0.6,1,0.06,Rx0,0.00419694,
VL,0.6,1,0.06,Rx0,0.0168245,
VL,0.6,1,0.06,Rx0,0.0126857,
VL,0.6,1,0.06,Rx0,0.0152669,
VL,0.6,1,0.06,Rx0,0.00976493,
VL,0.6,1,0.06,Rx0,0.0138672,
VL,0.6,1,0.06,Rx0,0.00112798,
VL,0.6,1,0.06,Rx0,0.0138035,
VL,0.6,1,0.06,Rx0,0,
VL,0.6,1,0.06,Rx0,0.0231917,
VL,0.6,1,0.06,Rx0,0.0472163,
VL,0.6,1,0.06,Rx0,0.033681,
VL,0.6,1,0.06,Rx0,0.0189283,
VL,0.6,1,0.06,Rx0,0.00491275,
VL,0.6,1,0.06,Rx0,0,
VL,0.6,1,0.06,Rx0,0.0127477,
VL,0.6,1,0.06,Rx0,0.006401,
VL,0.6,1,0.06,Rx0,0.0213701,
VL,0.6,1,0.06,Rx0,0.0101422,
VL,0.6,1,0.06,Rx0,0.0213133,
VL,0.6,1,0.06,Rx0,0.0116971,
VL,0.6,1,0.06,Rx0,0.0205279,
VL,0.6,1,0.06,Rx0,0.00527224,
VL,0.6,1,0.06,Rx0,0.0101121,
VL,0.6,1,0.06,Rx0,0.0118611,
VL,0.6,1,0.06,Rx0,0.00822475,
VL,0.6,1,0.06,Rx0,0.0263211,
VL,0.6,1,0.06,Rx0,0.00431536,
VL,0.6,1,0.06,Rx0,0.00666172,
VL,0.6,1,0.06,Rx0,0.011893,
VL,0.6,1,0.06,Rx0,0.00492459,
VL,0.6,1,0.06,Rx0,0.0118277,
VL,0.6,1,0.06,Rx0,0.0708664,
VL,0.6,1,0.06,Rx0,0.000572455,
VL,0.6,1,0.06,Rx0,0.041016,
VL,0.6,1,0.06,Rx0,0.00856262,
VL,0.6,1,0.06,Rx0,0.0221942,
VL,0.6,1,0.06,Rx0,0.00204461,
VL,0.6,1,0.06,Rx0,0.00220024,
VL,0.6,1,0.06,Rx0,0.0163169,
VL,0.6,1,0.06,Rx0,0.0418613,
VL,0.6,1,0.06,Rx0,0.00274595,
VL,0.6,1,0.06,Rx0,0.0227836,
VL,0.6,1,0.06,Rx0,0.0119548,
VL,0.6,1,0.06,Rx0,0.0499023,
VL,0.6,1,0.06,Rx0,0.0118227,
VL,0.6,1,0.06,Rx0,0.000877991,
VL,0.6,1,0.06,Rx0,0.015416,
VL,0.6,1,0.06,Rx0,0.00207338,
VL,0.6,1,0.06,Rx0,0.0228997,
